"","Modification","Region","W.statistic","p.value"
"W","H3K4me3","UpstreamIntergenic",11457194.5,5.23575740409683e-11
"W1","H3K4me3","Promotor1000",12579537,0.000436950363884729
"W2","H3K4me3","Promotor500",12320079.5,0.0693806038228107
"W3","H3K4me3","Gene20",11516619,0.00250467032708197
"W4","H3K4me3","Gene40",13243175.5,1.11234794531926e-13
"W5","H3K4me3","Gene60",12385280,0.0259022903969517
"W6","H3K4me3","Gene80",12202012.5,0.258737702803584
"W7","H3K4me3","Gene100",11943719.5,0.64526461292386
"W8","H3K4me3","Downstream",11257494.5,1.28243744573859e-07
"W9","H3K4me3","DownstreamIntergenic",11228359,2.06458655298399e-15
"W10","H3K36me3","UpstreamIntergenic",12291427,1.97596195962738e-10
"W11","H3K36me3","Promotor1000",13553667,5.28023337781676e-25
"W12","H3K36me3","Promotor500",13538594,1.31240192445041e-22
"W13","H3K36me3","Gene20",13358358,4.06395989649213e-16
"W14","H3K36me3","Gene40",14047204,1.28969642714402e-36
"W15","H3K36me3","Gene60",13068928.5,5.91462685585547e-11
"W16","H3K36me3","Gene80",11190691.5,1.95998928863451e-08
"W17","H3K36me3","Gene100",10534437,1.32983198732943e-26
"W18","H3K36me3","Downstream",11502856,7.34675609949747e-07
"W19","H3K36me3","DownstreamIntergenic",11868083,0.0360440031108331
"W20","H3K9ac","UpstreamIntergenic",11194474,1.04885220592916e-12
"W21","H3K9ac","Promotor1000",11548915.5,0.00379008486079704
"W22","H3K9ac","Promotor500",12010655,0.961702033679425
"W23","H3K9ac","Gene20",12340412.5,0.0533614593356364
"W24","H3K9ac","Gene40",14131533,2.6767170295775e-38
"W25","H3K9ac","Gene60",11423256,3.00408426140349e-05
"W26","H3K9ac","Gene80",12160881,0.34169764390036
"W27","H3K9ac","Gene100",10409359.5,2.64336256769077e-25
"W28","H3K9ac","Downstream",10723432,3.14737681293098e-22
"W29","H3K9ac","DownstreamIntergenic",10865291,6.87105371276036e-33
"W30","H3K27ac","UpstreamIntergenic",12061748,0.539430792010969
"W31","H3K27ac","Promotor1000",13231038,4.83165648781199e-16
"W32","H3K27ac","Promotor500",14130271,2.43117956279526e-44
"W33","H3K27ac","Gene20",14327757.5,2.45120498157145e-45
"W34","H3K27ac","Gene40",12858123,1.7957244317176e-09
"W35","H3K27ac","Gene60",12215090,0.0303248798753714
"W36","H3K27ac","Gene80",11761075.5,0.0111068185612279
"W37","H3K27ac","Gene100",11208475,2.5291027370799e-14
"W38","H3K27ac","Downstream",11285153,5.69176755255959e-16
"W39","H3K27ac","DownstreamIntergenic",11922988,0.00504724118502352
"W40","H3K27me1","UpstreamIntergenic",10591817,1.8328431167384e-52
"W41","H3K27me1","Promotor1000",11883168,0.344929968734256
"W42","H3K27me1","Promotor500",11379386.5,1.81478208670895e-07
"W43","H3K27me1","Gene20",13871526,1.15174252757445e-29
"W44","H3K27me1","Gene40",15761371,3.04381479807252e-114
"W45","H3K27me1","Gene60",15167883.5,1.08012084446168e-84
"W46","H3K27me1","Gene80",15402150,4.37439931413057e-95
"W47","H3K27me1","Gene100",16010801.5,6.71567709005512e-134
"W48","H3K27me1","Downstream",13230761,4.49496391296629e-20
"W49","H3K27me1","DownstreamIntergenic",11708177,0.00516401822932622
"W50","H2AK121ub","UpstreamIntergenic",11907165,0.284744787590449
"W51","H2AK121ub","Promotor1000",13490284,8.63787820829469e-22
"W52","H2AK121ub","Promotor500",12412590,0.0142781908223726
"W53","H2AK121ub","Gene20",12765439.5,5.92456584419366e-06
"W54","H2AK121ub","Gene40",13169984.5,4.0742925199923e-18
"W55","H2AK121ub","Gene60",12371826,0.00154728736366456
"W56","H2AK121ub","Gene80",12879546,1.52399887472769e-11
"W57","H2AK121ub","Gene100",13435444.5,1.20866359063151e-24
"W58","H2AK121ub","Downstream",13461430,2.15400268771719e-31
"W59","H2AK121ub","DownstreamIntergenic",12659066,2.2694218003224e-10
"W60","H3K27me3","UpstreamIntergenic",12396631,0.00033307079059447
"W61","H3K27me3","Promotor1000",11386717,1.67924492104401e-05
"W62","H3K27me3","Promotor500",11644171.5,0.0123520751401756
"W63","H3K27me3","Gene20",12621506.5,9.57301404379126e-05
"W64","H3K27me3","Gene40",13503388.5,3.16011235696113e-22
"W65","H3K27me3","Gene60",13993826.5,6.39712717794524e-41
"W66","H3K27me3","Gene80",13976150.5,3.92946220584507e-40
"W67","H3K27me3","Gene100",13909688.5,1.19208294169102e-36
"W68","H3K27me3","Downstream",13472340.5,4.09757611271975e-25
"W69","H3K27me3","DownstreamIntergenic",12310173.5,0.0187754198720101
"W70","H3K9me2","UpstreamIntergenic",11178280,9.99952612298643e-34
"W71","H3K9me2","Promotor1000",12551713.5,5.48816432601276e-13
"W72","H3K9me2","Promotor500",12566715,4.44160487238375e-20
"W73","H3K9me2","Gene20",12415668,5.73184832232809e-09
"W74","H3K9me2","Gene40",12401342,1.89455898010191e-08
"W75","H3K9me2","Gene60",11892682,0.105676582292177
"W76","H3K9me2","Gene80",11663119.5,6.57137756180446e-06
"W77","H3K9me2","Gene100",11634731,1.19248570506884e-06
"W78","H3K9me2","Downstream",11644585.5,1.89458594004783e-10
"W79","H3K9me2","DownstreamIntergenic",12155666,0.0923974836244901
