Gene,Control,ETI
AT1G10920,6.567405667,5.107523
AT1G12210,2.451570667,3.947189667
AT1G12220,6.313617,5.702227333
AT1G12280,6.747732333,1.481907
AT1G12290,4.175956667,8.085815667
AT1G15890,1.969704,3.908579
AT1G17600,4.826341,18.32368333
AT1G17610,10.09628767,22.66822467
AT1G17615,1.771888333,9.884738
AT1G27170,0.47771,1.005181
AT1G27180,1.828726333,1.887420667
AT1G31540,28.50271133,94.456454
AT1G50180,2.952383667,3.044266667
AT1G51480,0,0
AT1G52660,0,0
AT1G53350,5.003559667,3.651496333
AT1G56510,28.29356033,43.16031267
AT1G56520,8.445122333,40.20008767
AT1G56540,2.139736667,6.097618
AT1G57650,1.767704333,20.488773
AT1G58390,0.157606333,0.168778333
AT1G58400,0.066214,0.072993
AT1G58410,0.04849,0.218683
AT1G58602,72.78828567,85.43781433
AT1G58807,41.699738,52.31010467
AT1G58848,24.841308,22.42921
AT1G59124,3.554792,0
AT1G59218,27.45091767,31.39417633
AT1G59620,15.34136767,21.336128
AT1G59780,0.030892333,0.058672333
AT1G61180,9.882631667,13.841227
AT1G61190,52.287203,31.59556867
AT1G61300,32.23777067,7.696881667
AT1G61310,3.458773333,3.047583667
AT1G62630,12.91375167,2.561459
AT1G63350,4.081325,23.90630467
AT1G63360,19.06950367,9.766421333
AT1G63730,1.251168333,1.684481
AT1G63740,3.333107,4.809375333
AT1G63750,3.374156667,38.171962
AT1G63860,6.989307,7.844934
AT1G63870,0.024902,0.025676333
AT1G63880,17.087963,18.771586
AT1G64070,0.092611333,0.248667667
AT1G65850,0.127763667,0.627684667
AT1G66090,24.654757,674.0063353
AT1G69550,9.609568333,14.29432433
AT1G72840,1.209287333,1.960687
AT1G72850,1.143235333,1.046606
AT1G72860,0.110783,0.094653667
AT1G72870,0.266247333,0.537546333
AT1G72890,10.749329,48.14076067
AT1G72900,21.24625167,364.8227317
AT1G72910,49.29317267,98.78143167
AT1G72920,8.505196667,65.50659667
AT1G72930,455.417927,365.9041503
AT1G72940,10.59455733,54.17408567
AT1G72950,1.320712,6.72012
AT2G16870,3.497842333,10.69417367
AT2G17050,0.079355333,0.129447
AT2G17060,0.068802,0.121156333
AT3G04210,101.288481,126.089735
AT3G04220,1.556491333,42.55703267
AT3G07040,5.812310333,7.443716
AT3G14460,1.234466667,3.987477
AT3G14470,5.637253667,28.96883967
AT3G15700,0,0
AT3G25510,1.733653333,3.721180333
AT3G50950,80.88135333,138.505222
AT3G51560,0,0
AT3G51570,0,0.017048667
AT4G10780,0.097965333,0.045691
AT4G11170,1.362647,63.99277267
AT4G12010,4.549577,6.356697333
AT4G12020,5.945765,6.786162
AT4G14370,2.175966333,30.07873467
AT4G16860,50.7396,218.129997
AT4G16890,68.22196433,150.7762927
AT4G16900,4.029112,4.568794
AT4G16920,0.799809667,7.789098333
AT4G16930,0,0
AT4G16940,0.281433333,0.212786667
AT4G16950,55.80550667,146.3532903
AT4G16960,5.274314667,16.67015567
AT4G16990,99.51105833,90.11084067
AT4G19500,11.431917,4.105075
AT4G19510,14.61123967,17.37045933
AT4G19520,14.20999233,78.407917
AT4G19530,18.29202433,2.565493667
AT4G23510,0,0
AT4G26090,0,0
AT4G27190,0,0.010428667
AT4G27220,0.087881333,0.116216667
AT4G33300,41.57000433,116.6760193
AT4G36140,5.161604333,5.983340333
AT4G36150,4.973449667,5.476979667
AT5G04720,22.722639,63.72564567
AT5G05400,0.353829333,0.226839
AT5G11250,7.428208,4.850563667
AT5G17680,0.118591333,0.503729667
AT5G17880,7.671987333,7.064915
AT5G17890,6.734491667,7.965837333
AT5G17970,0,0
AT5G18350,0.254655333,1.43993
AT5G18360,2.271475667,3.630949
AT5G18370,3.106641333,2.824001667
AT5G22690,2.754286,3.501553333
AT5G40060,8.73054,8.006997333
AT5G40090,0.023654333,0.024126
AT5G40100,0.038263667,0.045736
AT5G40910,10.11253367,5.398551667
AT5G41540,0,0.048641
AT5G41550,0.493214333,6.176938667
AT5G41740,16.713184,217.357758
AT5G41750,13.744997,208.1441707
AT5G43470,64.38300967,53.864924
AT5G43730,0.649954,1.013712
AT5G43740,11.38511033,5.236440667
AT5G44510,5.804528333,4.539144
AT5G44870,12.469373,17.472215
AT5G45000,9.199588,31.42373833
AT5G45050,6.638177333,6.577183
AT5G45060,8.719902,8.595744333
AT5G45200,0,0.013796333
AT5G45210,0,0
AT5G45220,0.056858333,0.053759
AT5G45230,0,0
AT5G45240,0.039325667,0.254853333
AT5G45250,16.903704,28.276137
AT5G45260,21.80785167,10.08221633
AT5G45440,0.602198667,0.888
AT5G45490,51.53736833,41.679491
AT5G46260,7.860471667,6.903030333
AT5G46270,10.30310933,4.941705333
AT5G46450,11.10037133,6.777729667
AT5G46470,24.508568,64.78790833
AT5G46490,28.566718,83.79892433
AT5G46510,6.402343667,11.21802167
AT5G46520,8.777269,89.055877
AT5G47250,3.917372333,2.845855
AT5G47260,0,0
AT5G47280,0,0
AT5G48620,34.77659267,30.28024367
AT5G48770,0.697477,0.562292
AT5G48780,0.288291,0.385266667
AT5G49140,0,0
AT5G51630,4.517958667,32.968895
AT5G58120,10.46572767,29.86784933
AT5G63020,14.60803833,15.77217733
AT5G66900,12.528649,27.52981367
AT5G66910,13.99769933,68.562601
